location,date,total_cases,total_deaths,total_vaccinations_per_hundred,gdp_per_capita,population,CFR,Cases_per_100k
Albania,2024-08-04,335047.0,3605.0,108.68,11803.43,2842318,1.08,11787.81
Austria,2024-08-04,6082444.0,22534.0,228.97,45436.69,8939617,0.37,68039.2
Bosnia and Herzegovina,2024-08-04,403666.0,16392.0,59.53,11713.9,3233530,4.06,12483.76
Bulgaria,2024-08-04,1329988.0,38700.0,69.69,18563.31,6781955,2.91,19610.69
Croatia,2024-08-04,1317144.0,18752.0,133.35,22669.8,4030361,1.42,32680.55
Czechia,2024-08-12,4761919.0,43509.0,181.5,32605.91,10493990,0.91,45377.58
France,2024-08-04,38997490.0,168091.0,227.82,38605.67,67813000,0.43,57507.4
Germany,2024-08-04,38437756.0,174979.0,230.56,45229.24,83369840,0.46,46105.11
Greece,2024-08-04,5673681.0,39258.0,216.35,24574.38,10384972,0.69,54633.57
Hungary,2024-08-04,2230800.0,49053.0,167.56,26777.56,9967304,2.2,22381.18
Italy,2024-08-07,26781078.0,197307.0,244.94,35220.08,59037472,0.74,45362.85
Kosovo,2024-08-04,274279.0,3212.0,103.1,9795.83,1782115,1.17,15390.65
Montenegro,2024-08-04,251280.0,2654.0,108.31,16409.29,627082,1.06,40071.31
North Macedonia,2024-08-04,350924.0,9978.0,88.98,13111.21,2093606,2.84,16761.7
Poland,2024-08-04,6670799.0,120726.0,145.6,27216.44,39857144,1.81,16736.77
Portugal,2024-08-04,5664109.0,28809.0,275.68,27936.9,10270857,0.51,55147.38
Romania,2024-08-04,3541619.0,68825.0,85.6,23313.2,19659270,1.94,18015.01
Slovenia,2024-08-04,1356582.0,10083.0,141.36,31400.84,2119843,0.74,63994.46
Spain,2024-08-04,13980340.0,121852.0,222.55,34272.36,47558632,0.87,29396.01
Switzerland,2024-08-04,4457868.0,14170.0,193.82,57410.17,8740471,0.32,51002.61
